,Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets,Industry,Ticker,pe_ratio_industry_avg
36,2018-03-31,118.71236707868853,4452900.0,0.39,316.1794872,27.86,22.43,7.14,43.09,1.41,34.32,1.12,97.14,1.62,1.88,0.85,-24.97,-14.82,30.54,60.16,1.3,18296.0,60160.0,20195.0,12936.0,2560.0,4788.0,-10713.0,-3.91,4.426058866,5.497547927,17.27030812,157.3,Healthcare,JNJ,39.507209774888885
37,2018-06-30,110.3205333953125,6119400.0,0.38,299.5263158,28.73,23.58,7.36,42.77,1.58,33.75,1.25,93.37,1.48,1.85,0.8,-20.26,-6.98,27.08,63.26,1.25,15204.0,63255.0,20009.0,13395.0,5481.0,7600.0,4367.0,1.6,3.961712496,4.82697201,15.46467391,156.63,Healthcare,JNJ,93.44112360188889
38,2018-09-30,118.35484131904762,7308700.0,0.43,252.4883721,29.51,23.45,7.7,45.44,1.65,36.63,1.33,92.48,1.47,2.11,0.88,-17.51,-7.35,27.49,62.89,1.37,18139.0,62889.0,20830.0,13903.0,4973.0,7069.0,3954.0,1.45,3.679091833,4.629850746,14.1,155.37,Healthcare,JNJ,20.61799328288889
39,2018-12-31,125.03613729365078,6636892.063492063,0.5,248.9,29.79,24.09,7.48,47.19,1.72,38.52,1.4,91.08,1.41,2.46,0.99,-14.71,-7.96,27.44,64.63,1.54,19364.0,64626.0,20348.0,13759.0,4423.0,6572.0,3934.0,1.44,4.177576368,5.166044002,16.63770053,155.7,Healthcare,JNJ,90.27433399600001
40,2019-03-31,120.88040223278688,6537200.0,6.36,18.39308176,31.31,22.44,6.88,46.03,1.47,37.43,1.2,93.2,1.56,24.42,9.86,-18.31,-86.43,31.23,59.75,15.3,19687.0,59752.0,20394.0,13433.0,3122.0,5303.0,3042.0,1.12,3.736186522,5.213012478,17.00290698,152.95,Healthcare,JNJ,28.421193143333333
41,2019-06-30,125.73453291269841,7168400.0,6.3,20.24603175,31.08,22.2,5.81,41.99,1.44,32.9,1.13,91.07,1.55,23.85,9.56,-19.39,-83.96,29.11,58.96,14.68,15336.0,58955.0,20021.0,13406.0,4422.0,6384.0,3749.0,1.39,4.103925354,5.745495495,21.9535284,150.03,Healthcare,JNJ,26.830040716666662
42,2019-09-30,120.507580759375,12686370.3125,6.94,18.43659942,31.26,23.01,6.74,41.8,1.33,32.54,1.04,94.33,1.55,26.76,10.64,-22.21,-87.54,31.35,60.79,16.33,15278.0,60785.0,20562.0,13622.0,7041.0,8917.0,5607.0,2.08,4.093090211,5.560625815,18.98367953,155.12,Healthcare,JNJ,26.216498794444444
43,2019-12-31,124.9920580359375,5958325.0,6.4,18.571875,30.3,22.13,11.46,44.33,1.26,35.16,1.0,97.31,1.67,23.81,9.22,-22.93,-68.33,35.16,58.21,14.15,17945.0,58210.0,20729.0,13862.0,1647.0,3511.0,1753.0,0.66,3.922772277,5.370989607,10.37172775,155.52,Healthcare,JNJ,26.898440008888894
44,2020-03-31,131.6167191532258,3227020.9677419355,6.78,19.90265487,30.55,22.59,8.64,45.27,1.26,36.25,1.01,98.26,1.65,25.47,9.78,-21.81,-70.04,35.96,59.47,15.12,19287.0,59471.0,20747.0,13613.0,4218.0,6200.0,4010.0,1.5,4.417021277,5.973439575,15.61805556,157.73,Healthcare,JNJ,30.36756863
45,2020-06-30,136.09992702380953,21492980.95238095,7.56,16.1494709,30.88,23.28,8.5,44.23,1.31,35.36,1.05,93.72,1.53,28.64,11.01,-19.52,-79.42,33.69,61.29,17.17,18024.0,61294.0,20691.0,13629.0,6509.0,8348.0,5796.0,2.17,3.95369171,5.244415808,14.36352941,155.02,Healthcare,JNJ,31.277149351444436
46,2020-09-30,139.1344637890625,5332593.75,6.84,19.27631579,30.12,23.92,6.65,45.89,1.25,36.47,0.99,95.4,1.52,25.1,9.69,-18.33,-73.55,36.77,62.98,15.19,19135.0,62978.0,18336.0,11757.0,3940.0,5730.0,3626.0,1.36,4.37749004,5.512123746,19.82706767,158.38,Healthcare,JNJ,-33.747826423333336
